"English","Deutsch";
"A soft, ductile metal with high electrical and thermal conductivity, commonly used in electrical wiring.","Ein weiches, duktiles Metall mit hoher elektrischer und thermischer Leitfähigkeit, üblicherweise in der elektrischen Verdrahtung verwendet.";
"P C X","P c x.";
"Liquid used for crafting more advanced items.","Flüssigkeit zum Herstellen von fortgeschrittenen Elementen.";
"Urchin Shell","Urchin-Shell";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Teil eines Urchins auf dem Land gefunden. Es ist gefährlich, roh zu essen, kann aber zum Handwerk und zum Kochen verwendet werden.";
"Hydrogen Torch","Wasserstoffbrenner";
"Fern Tree Berry","Farn Tree Berry.";
"Charred Alien Bits","Verkohlte Alien Bits.";
"Bits of Alien Meat quickly cooked in extremely high temperature, not too tasty, but its technically safe to eat.","Bits von Alien Fleisch kocht schnell in extrem hoher Temperatur, nicht zu lecker, aber es ist technisch sicher zu essen.";
"Alien Hide","Alien Hide";
"Hide skinned from the body of an indigenous alien creature.","Hautverhaut aus dem Körper einer einheimischen außerirdischen Kreatur.";
"Crab Egg","Krabbenei";
"Egg taken from the body of a Crab monster. Cook to avoid food poisoning.","Ei aus dem Körper eines Krabbenmonsters genommen. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Scrap Dish","Schrottform";
"Dish parts that have been left over.","Geschirrteile, die überlassen wurden.";
"Molybdenum","Molybdän";
"A metal that is commonly used for the strengthening of steel.","Ein Metall, das üblicherweise zur Verstärkung von Stahl verwendet wird.";
"Iron","Eisen";
"A moderately soft metal commonly used as a structural material when alloyed with other elements, mostly in the form of Steel.","Ein mäßig weiches Metall, das üblicherweise als strukturelles Material verwendet wird, wenn er mit anderen Elementen legiert, meistens in Form von Stahl.";
"Arachnoid Meat","Arachnoid-Fleisch";
"Meat ripped right off the body of a Arachnoid. Cook to avoid food poisoning.","Fleisch riss direkt vom Körper eines Arachnoids. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Stone Shovel Head","Steinschaufelkopf.";
"A shaped rock that can be used to make a shovel.","Ein geformter Stein, der zur Herstellung einer Schaufel verwendet werden kann.";
"Sponge Tubes","Schwammröhren";
"Tubes taken from a sponge tube trees used as an ingredient to make different items in chemistry.","Röhren aus einem Schwammrohrbäumen, die als Zutat verwendet werden, um verschiedene Gegenstände in der Chemie zu erstellen.";
"Tumbo Soup","Tumbosuppe";
"Orcek Leg","Orcek-Bein.";
"Leg ripped right off the body of a Orcek. Cook to avoid food poisoning.","Bein riss direkt vom Körper eines Orcek. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Grilled Alien Meat","Gegrilltes fremdes Fleisch";
"Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.","Fleisch riss direkt vom Körper einer indigenen außerirdischen Kreatur. Wurde gekocht und ist sicher zu essen.";
"Storage Unit Mk. II","Speichereinheit Mk. II";
"Data Disk SN:144.22","Datenträger SN: 144.22";
"Redfern Tree Berry","Redfern-Baum-Beere.";
"Nutritious fruit to replenish hunger and will slightly improve your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Nahrhafte Früchte, um Hunger aufzufüllen und Ihre Gesundheit leicht zu verbessern. Kann während der Ausstattung oder direkt aus der Lagerung gegessen werden. Wird auch als Zutat in der Handlung einiger Gegenstände verwendet.";
"Moonshroom","Mondscheibe";
"Indigenous fungus found on the surface of Lutari. It's edible, but isn't very nutritious.","Indigene Pilz auf der Oberfläche von Lutari gefunden. Es ist essbar, ist aber nicht sehr nahrhaft.";
"Brass","Messing";
"Soft alloy that excels in low friction applications.","Weiche Legierung, die in geringen Reibungsanwendungen auszeichnet.";
"Cryo Rifle Ammo","Kryo-Gewehrmunition";
"Advanced water filled ammo clip for a Cryo Rifle. This water filled container can only be fabricated in and advanced fabricator.","Fortgeschrittener wassergefüllter Munitionsclip für ein Kryo-Gewehr. Dieser mit Wasser gefüllte Behälter kann nur im und fortschrittlichen Hersteller hergestellt werden.";
"Tumbo Leg","Tumbo-Bein";
"Leg taken from the body of a Tumbo. Cook to avoid food poisoning.","Bein aus dem Körper eines Tumbos. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Berry Juice","Beerensaft";
"A syrupy, tart juice created from cooked berries.","Ein syruster, törtchen Saft aus gekochten Beeren.";
"Magnesium","Magnesium";
"A metal susceptible to corrosion commonly used in creating lightweight materials and alloys.","Ein für Korrosion anfälliges Metall, das üblicherweise beim Erstellen von leichten Materialien und Legierungen verwendet wird.";
"Cooked Orcek Egg","Gekochtes Orcek Egg.";
"Delicious cooked Orcek Egg. Eat while equipped or straight from inventory.","Köstliches gekochtes Orzekei. Essen Sie während der Ausstattung oder direkt aus dem Inventar.";
"Hydrocarbon Solution","Kohlenwasserstofflösung.";
"A solution rich in hydrocarbons, very flamable and combustible, can be refined into a better fuel.","Eine in Kohlenwasserstoffe reiche Lösung, sehr flüstig und brennbar, kann in einen besseren Kraftstoff verfeinert werden.";
"Methane Gas","Methan Gas";
"A flammable gas that is both colorless and odorless. It is the main constituent of natural gas, as well as the simplest member of the alkane series of hydrocarbons.","Ein brennbares Gas, das sowohl farblos als auch geruchlos ist. Es ist der Hauptbestandteil von Erdgas sowie das einfachste Mitglied der Alkane-Serie von Kohlenwasserstoffen.";
"Data Disk SN:851.47","Datenträger SN: 851.47";
" (0 chances)"," (0 Chancen)";
"Radar Scanner","Radarscanner.";
"Advanced handheld Radar Scanner used for navigating terrain and scanning for resources based on their elemental density. Equip item to activate scanner.","Fortgeschrittener Handheld-Radarscanner, der zum Navigieren von Gelände und Scannen auf Ressourcen basierend auf ihrer elementaren Dichte verwendet wird. Artikel ausrüsten, um den Scanner zu aktivieren.";
"Gnat Stew","Gnat-Eintopf";
"Snake Spikes","Schlangenspitzen";
"Spikes taken from the back of a snake.","Spikes aus der Rückseite einer Schlange.";
"Cobalt Pistol","Kobaltpistole";
"Laser Cell","Laserzelle";
"15% critical hit","15% kritischer Treffer";
"Broken Circuit Board","Gebrochene Leiterplatte";
"A Circuit Board that has been broken and is missing some circuitry, could be repaired to be functional again.","Eine Leiterplatte, die gebrochen wurde und einige Schaltung fehlt, konnte wieder repariert werden, um wieder funktionsfähig zu sein.";
"Dragon Tooth","Drachezahn";
"Powerful piercing melee weapon with a sharp obsidian blade.","Leistungsstarke Piercing-Nahkampfwaffe mit einer scharfen Obsidian-Klinge.";
"Arachnoid Teeth","Arachnoidische Zähne";
"Hover Booster","Hover Booster.";
"Stim Unit","Stim-Einheit";
"Nichrome","Nichrome";
"An alloy with high electrical resistance commonly used in heating elements.","Eine Legierung mit hoher elektrischer Widerstand, die häufig in Heizelementen verwendet wird.";
"Crude Metal Sword","Rohes Metallschwert.";
"60% critical hit","60% kritischer Treffer";
"A crude sharp weapon made from a piece of sharpened metal. ","Eine rohe scharfe Waffe aus einem Stück geschärfter Metall.";
"Solar Unit Mk. III","Solareinheit Mk. III.";
"Lithium","Lithium";
"The lightest and least dense metal, while commonly used in the creation of batteries, can also be used in air purification applications.","Das leichteste und am wenigsten dichtende Metall, während häufig bei der Erstellung von Batterien verwendet werden, kann auch in Luftreinigungsanwendungen eingesetzt werden.";
"Masking Tape","Abdeckband";
"Suit Integrity Bonus: ","Anzug-Integritätsbonus:";
"IMPORTANT! Use masking tape to repair suit punctures. Can be used while equipped or straight from inventory.","WICHTIG! Verwenden Sie das Maskierungsband, um Ansaupunkte zu reparieren. Kann während der Ausstattung oder direkt aus dem Inventar verwendet werden.";
"Cinna Fern","Cinna Fern";
"Leather Straps","Lederriemen";
"Sections of leather used in crafting.","Abschnitte aus Leder, die im Basteln verwendet werden.";
"Recovery Unit Mk. II","Wiederherstellungseinheit Mk. II";
"Fuel Compressor Mk. III","Kraftstoffkompressor Mk. III";
"Wrath","Zorn";
"Advanced compound created to increase your carrying capacity and stamina.","Fortgeschrittene Verbindung erstellt, um Ihre Tragfähigkeit und Ausdauer zu erhöhen.";
"Gunmetal","Gunmetall";
"Corrosion resistant alloy commonly used in weapons.","Korrosionsbeständige Legierung, die üblicherweise in Waffen verwendet wird.";
"Flourescence","Floureszenz";
"Liquid that has lumenescent properties.","Flüssigkeit, die Lumenesgeisteigenschaften hat.";
"Magnesium Ingot","Magnesium-Ingot.";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 650 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: 650 ° C
";
"Silver","Silber";
"A precious metal with very high electrical and thermal conductivity.","Ein Edelmetall mit sehr hoher elektrischer und thermischer Leitfähigkeit.";
"Metal material found off of broken human made structures and vehicles. Can be recycled into other materials or used to create makeshift structures and other items.","Metallmaterial fand aus gebrochenen menschlichen Strukturen und Fahrzeugen statt. Kann in andere Materialien recycelt werden oder zum Erstellen von Maxishift-Strukturen und anderen Gegenständen verwendet werden.";
"Cooling Unit Mk. III","Kühleinheit mk. III.";
"Blue Blades","Blaue Klingen";
"Blades taken from a Blueblade plant used as an ingredient to craft different items. Can also be eaten.","Klingen aus einer Bluebade-Anlage, die als Bestandteil verwendet wird, um verschiedene Gegenstände zu erzeugen. Kann auch gegessen werden.";
"Lava Leaves","Lava-Blätter";
"Lava leaves are used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Lava-Blätter werden als Bestandteil verwendet, um verschiedene Gegenstände zu erzeugen. Kann für einen kleinen Anstieg der Gesundheit und Ernährung gegessen werden.";
"Data Disk SN:251.35","Datenträger SN: 251.35";
"Makeshift Screwdriver","Maxishift-Schraubendreher.";
"A makeshift multi-tool fashioned from scrap metal to allow for repairing, salvaging, and precise tinkering.","Ein Multi-Tool aus Multi-Tool, das aus Altmetall ausgebildet ist, um Reparatur, Rettung, Rettung und präzisen Basteln zu ermöglichen.";
"Spicy Sausage Gumbo","Würzige Wurst Gumbo.";
"An extravagant, delicious stew with multiple types of meats and vegetables. Eat while equipped or straight from inventory.","Ein extravaganter, köstlicher Eintopf mit mehreren Arten von Fleisch und Gemüse. Essen Sie während der Ausstattung oder direkt aus dem Inventar.";
"C19 Heavy Assault Rifle","C19 Heavy Assault Rifle";
"Human Waste","Menschlicher Abfall";
"Fertilizer to be mixed with Sand to create Soil for growing crops.","Dünger, um mit Sand gemischt zu werden, um Boden zum Anbau von Ernten zu schaffen.";
"O2 Pump","O2 pumpe.";
"Cooked Crab Egg","Gekochtes Krabbenei";
"Delicious cooked Crab Monster Egg. Eat while equipped or straight from inventory.","Köstliches gekochtes Krabben-Monsterei. Essen Sie während der Ausstattung oder direkt aus dem Inventar.";
"Azure Rifle Magazine","Azure Rifle Magazine.";
"Ammo magazine for the Assault Rifle. It is automatically used when reloading, if stored in backpack.","Munitionsmagazin für das Sturmgewehr. Es wird beim Nachladen automatisch verwendet, wenn er im Rucksack gespeichert ist.";
"Magnalium","Magnalium";
"An alloy with high strength, workability and low density commonly used in various vehicles types.","Eine Legierung mit hoher Festigkeit, Verarbeitbarkeit und niedriger Dichte, die häufig in verschiedenen Fahrzeugen verwendet werden.";
"Frenzy","Raserei";
"Advanced compound created to increase your health and stamina.","Fortgeschrittene Verbindung erstellt, um Ihre Gesundheit und Ausdauer zu erhöhen.";
"Aluminum","Aluminium";
"A low-density metal that is highly conductive and resist to corrosion.","Ein Metall mit niedrigem Dichte, das sehr leitend ist und Korrosion widersteht.";
"Dymalloy","Dymlegabe";
"Conductive alloy used for high-powered electronics.","Leitfähige Legierung, die für Hochleistungselektronik verwendet wird.";
"Carrot","Karotte";
"Nutritious vegetable to replenish hunger. Can be eaten while equipped or straight from storage.","Nahrhaftes Gemüse, um den Hunger aufzufüllen. Kann während der Ausstattung oder direkt aus der Lagerung gegessen werden.";
"Snow","Schnee";
"Pile of frozen water flakes.","Haufen von gefrorenen Wasserflocken.";
"Dirty Water","Schmutziges Wasser";
"Liquid water to be drank for quenching thirst. This will be bad for your nutrition but the water can be purified using some simple chemistry.","Flüssiges Wasser, das zum Abschrecken von Durst getrunken wird. Dies ist schlecht für Ihre Ernährung, aber das Wasser kann mit einer einfachen Chemie gereinigt werden.";
"Cooling Unit Mk. II","Kühleinheit mk. II";
"Diamond","Diamant";
"A crystalline form of pure carbon with immensely high hardness and thermal conductivity, commonly used in industrial cutting and grinding applications.","Eine kristalline Form von reinem Kohlenstoff mit stark hoher Härte und Wärmeleitfähigkeit, üblicherweise in industriellen Schneid- und Schleifanwendungen verwendet.";
"Dyno","Dyno.";
"A weak compound created to give a small boost to your speed.","Eine schwache Verbindung, die erzeugt wurde, um Ihrer Geschwindigkeit einen kleinen Schub zu geben.";
"Pistol","Pistole";
"Lithium Ingot","Lithium-Ingot";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 180.5 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: 180,5 ° C
";
"Pick Axe","Axt auswählen";
"Large slashing tool that is primarily for mining but can be used in self defense.","Großes Schneidwerkzeug, das hauptsächlich für den Bergbau ist, kann jedoch zur Selbstverteidigung eingesetzt werden.";
"Assault Rifle Magazine","Assault Rifle Magazine.";
"Booster Unit Mk. I","Boostereinheit mk. ich";
"Anvil","Amboss";
"A strong compound created to give a boost to your health.","Eine starke Verbindung erzeugte, um Ihrer Gesundheit einen Schub zu schaffen.";
"Meat Stew","Fleisch-Eintopf";
"Simple Meat broth, an improvement over basic charred meat. Eat while equipped or straight from inventory.","Einfache Fleischbrühe, eine Verbesserung gegenüber grundlegendem Fleisch. Essen Sie während der Ausstattung oder direkt aus dem Inventar.";
"Light Unit Mk. II","Lichteinheit Mk. II";
"Charge Cell","Gebührenzelle";
"Advanced portable power source made in a printer or fabricator. Used as a power source for the charge rifle.","Erweiterte tragbare Stromquelle in einem Drucker oder Hersteller. Wird als Stromquelle für das Ladungsgewehr verwendet.";
"Orcek Egg","Orcek Egg.";
"Egg taken from an Orcek. Cook to avoid food poisoning.","Ei aus einem Orcek genommen. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Broken Computer Screen","Unterbrochener Computerbildschirm.";
"A computer with a screen that is defective.","Ein Computer mit einem defekten Bildschirm.";
"Dull Survival Knife","Stumpfes Überlebensmesser";
"A Survival Knife is a slashing tool that is an essential part of all U.N.E. standard issue Emergency Kits. Not sharp enough to precisely skin creatures, but could be used to separate plant fibers or butcher meat in a pinch.","Ein Survival Messer ist ein Schneidwerkzeug, das ein wesentlicher Bestandteil aller u.e.e ist. Standardausgabe Notfallkits. Nicht scharf genug, um genau Hautkreaturen zu prägen, sondern verwendet werden, um Pflanzenfasern oder Metzgerfleisch in einer Prise zu trennen.";
"Sulfur","Schwefel";
"A nonmetallic element that is commonly used in chemical applications and as a component in fertilizers.","Ein nichtmetallisches Element, das häufig in chemischen Anwendungen und als Komponente in Düngemittel verwendet wird.";
"Oxygen Scrubber","Sauerstoffwäscher";
"Snake Meat","Schlangenfleisch";
"Meat ripped right off the body of a snake. Cook to avoid food poisoning.","Fleisch riss direkt vom Körper einer Schlange. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Power Cell","Kraftzelle";
"A basic lithium-ion power cell.","Eine grundlegende Lithium-Ionen-Leistungszelle.";
"Hydrazine","Hydrazin";
"Highly explosive gas commonly used to fuel rockets.","Häufig explosives Gas, das üblicherweise verwendet, um Raketen zu tanken.";
"Crab Scythe","Crab Sense.";
"Melee weapon made from the talon of a crab monster.","Nahkampfwaffe aus dem Talon eines Krabbenmonsters.";
"Tin","Zinn";
"A soft metal commonly used in various alloys and as a coating to prevent corrosion.","Ein weiches Metall, das üblicherweise in verschiedenen Legierungen und als Beschichtung verwendet wird, um Korrosion zu verhindern.";
"Horse Bract","Pferdebummel";
"Horse bract are used as an ingredient to craft different items.","Pferdebummel werden als Bestandteil verwendet, um verschiedene Gegenstände zu erzeugen.";
"Targe","Zarge";
"A weak compound created to give you a small boost to your health.","Eine schwache Verbindung, die erstellt hat, um Ihnen einen kleinen Schub für Ihre Gesundheit zu geben.";
"Makeshift Bandage","Provisorischer Verband";
"Orcek Stew","Orcek-Eintopf";
"A delicious stew with added Orcek Meat and Carrots. Eat while equipped or straight from inventory.","Ein köstlicher Eintopf mit hinzugefügtem Orcek-Fleisch und Karotten. Essen Sie während der Ausstattung oder direkt aus dem Inventar.";
"Duralumin","Duraluminium";
"An alloy with a high strength to weight ratio commonly used on vehicles and aircraft.","Eine Legierung mit hoher Festigkeits-Gewichts-Verhältnis, das üblicherweise an Fahrzeugen und Flugzeugen verwendet wird.";
"Glass","Glas";
"Crafting item for building structures, walls, and other items.
","Handwerksgegenstand für Baustrukturen, Wände und andere Gegenstände.
";
"Cooling Unit Mk. I","Kühleinheit Mk. 1";
"Soil","Boden";
"Natural crafting agent for growing crops in a Bio Dome.","Natürliches Handwerksmittel für wachsende Ernten in einem Bio-Kuppel.";
"Psychroptera","Psychropfera";
"Fleshy growth from a Psychroptera.","Fleischiges Wachstum von einem Psychropfera.";
"Cooling Unit","Kühleinheit";
"Azure Rifle","Azur-Gewehr";
"Fuel Cell","Brennstoffzelle";
"A long lasting power source.","Eine langanhaltende Stromquelle.";
"Solar Unit Mk. II","Solareinheit Mk. II";
"Lead Ingot","Bleibarren";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 327.5 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: 327.5 ° C
";
"Solar Panel Small Kit","Solarpanel Kleines Kit";
"Kit used to build Small Solar Panel. To build, right-click on Inventory Item and select Build or select the  Small Solar Panel from the Structures tab in your Character Menu.","KIT Zum Bau des kleinen Sonnenkollektors. Klicken Sie zum Erstellen, mit der rechten Maustaste auf Inventar-Elemente, und wählen Sie auf der Registerkarte "Strukturen" in Ihrem Zeichen-Menü die Option Erstellen oder wählen Sie das kleine Solarfeld aus.";
"Fibon Tree Fruit","Fibon-Baumfrüchte.";
"Alien Blood","Alienblut";
"Blood extracted from the body of an indigenous alien creature.","Blut aus dem Körper einer einheimischen außerirdischen Kreature extrahiert.";
"Beacon Kit","Beacon Kit.";
"Kit used to build beacons. To build, right-click on Inventory Item and select Build or select the Beacon from the Utilities tab in your Character Menu.","Kit zum Bau von Baken. Klicken Sie zum Erstellen, mit der rechten Maustaste auf Inventar-Elemente, und wählen Sie auf der Registerkarte "Dienstprogramme" in Ihrem Zeichen-Menü die Option Erstellen oder wählen Sie das Beacon aus.";
"Storage Unit","Lagereinheit";
"Nickel Ingot","Nickel Ingot.";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1455 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: 1455 ° C
";
"Key Card Tier-1","Schlüsselkarte Tier-1";
"A low-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Keycard mit niedrigem Level, der zum Öffnen von Osiris Mission-Türen in verlassenen Siedlungen und Minen verwendet wurde.";
"Frost Lotus","Frostlotus";
"A flower from the Frost Lotus plant.","Eine Blume aus der Frost-Lotusanlage.";
"Crude Metal Axe Head","Rohöl-Axtkopf";
"A piece of sharpened metal that can be used to make an axe.","Ein Stück geschärftes Metall, das zur Herstellung einer Axt verwendet werden kann.";
"Survival Tool","Überlebenswerkzeug";
"A multi-tool included in all U.N.E. standard issue Emergency Kits, useful for repairing, salvaging, and precise tinkering when in a pinch.","Ein Multi-Tool in allen u.e.e. Standardausgabe-Not-Kits, nützlich zum Reparieren, Erleben und präzisen Basteln, wenn in einer Prise.";
"Oxygen Tanks","Sauerstoff Tank";
"Oxygen Bonus: ","Sauerstoffbonus:";
"Tanks filled with oxygen that can be plugged directly in to your suit. This will help you catch your breath by providing oxygen in the field.","Tanks mit Sauerstoff gefüllt, die direkt in Ihren Anzug angeschlossen werden können. Dies hilft Ihnen, Ihren Atem zu fangen, indem Sie Sauerstoff in das Feld bereitstellen.";
"Zamak","Zamak";
"A general purpose alloy with a wide range of applications.","Eine Allzwecklegierung mit einer Vielzahl von Anwendungen.";
"6al-4v","6Al-4V.";
"An alloy with high specific strength and excellent corrosion resistance.","Eine Legierung mit hoher spezifischer Festigkeit und hervorragender Korrosionsbeständigkeit.";
"Makeshift Patch Tape","MACESHIFT-Patch-Band.";
"Ladder","Leiter";
"Used to reach high places.","Verwendet, um hohe Orte zu erreichen.";
"Banana","Banane";
"Nitrogen Compress Cell","Stickstoffkompresszelle";
"ADD DETAILS
","Details hinzufügen
";
"Crude Metal Shovel","Rohölschaufel.";
"Scarburros Palm","Scarburros Palm.";
"Data Disk SN:231.25","Datenträger SN: 231.25";
"Test Boots","Teststiefel";
"Prevents Lava Damage","Verhindert Lavaschaden";
"Gnat Underhook","Gnat unterhook.";
"Baked Potato","Ofenkartoffel";
"Scrap Cloth","Schrottuch.";
"Soft fragments of cloth.","Weiche Stofffragmente.";
"Data Disk SN:385.21","Datenträger SN: 385.21";
"Test Backpack","Testrucksack";
"Ferrochrome","Ferrochrom";
"Acid-resistent alloy used in the production of stainless steel.","Säure-resistente Legierung, die in der Herstellung von Edelstahl verwendet wird.";
"T21 Heavy Assault Rounds","T21 Schwere Angriffsrunden";
"Patch Tape","Patch-Band";
"IMPORTANT! Use patch tape to repair suit punctures. Can be used while equipped or straight from inventory.","WICHTIG! Verwenden Sie das Patch-Band, um Ansaupunkte zu reparieren. Kann während der Ausstattung oder direkt aus dem Inventar verwendet werden.";
"Dirt","Schmutz";
"Useless","Nutzlos";
"Iron Ingot","Eisenbarren";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1538 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: 1538 ° C
";
"Test Helmet","Testhelm";
"Snake Hide","Schlangenverdiegung";
"Hide from a snake used to make items for crafting weapons and different items.","Verstecken Sie sich aus einer Schlange, um Gegenstände zum Herstellen von Waffen und verschiedenen Gegenständen herzustellen.";
"Tumbo Shell","Tumbothell";
"Shell taken from a Tumbo, often used to make defenses.","Shell aus einem Tumbo, der häufig verwendet wurde, um Abwehrungen zu erheben.";
"Gnat Hide","Gnat verstecken";
"Ion Assault Rifle Magazine","ION ASSAULT RIFLE MAGAZINE";
"Spirit","Geist";
"Advanced compound created to increase your health and speed.","Fortgeschrittene Verbindung erstellt, um Ihre Gesundheit und Geschwindigkeit zu erhöhen.";
"Spirea","Spirrea";
"Spirea plant sample used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Spirrea-Pflanzenprobe, die als Bestandteil verwendet wird, um verschiedene Gegenstände zu erzeugen. Kann für einen kleinen Anstieg der Gesundheit und Ernährung gegessen werden.";
"Organic Sludge","Organischer Schlamm";
"A thick sludge that appears to have high concentrations of graphene strands suspended in solution.","Ein dicker Schlamm, der hohe Konzentrationen an Graphensträngen aufweisen scheint, die in Lösung suspendiert sind.";
"Heat Sink Unit","Kühlkörper-Einheit";
"Broken Wire","Kaputter Draht";
"Short segments of wire. With more pieces, could be combined into a usable segment of wire.","Kurze Drahtsegmente. Mit mehr Teilen konnte in ein nutzbares Drahtsegment zusammengefasst werden.";
"Machete","Machete";
"A sharp weapon that is essentially a steel blade with a nice handle.","Eine scharfe Waffe, die im Wesentlichen eine Stahlklinge mit einem schönen Griff ist.";
"Copper Ingot","Kupferbarren";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1085 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: 1085 ° C
";
"Alien Insect Parts","Alien Insekteteile";
"Squished parts of an indigenous alien insect.","Zerquetete Teile eines indigenen fremden Insekts.";
"Crab Screwdriver","Krabbenschraubendreher";
"A makeshift multi-tool fashioned from tough pieces of chitinous antenna to allow for repairing, salvaging, and precise tinkering.","Ein Multi-Tool mit Multi-Tool aus robusten Teilen chitinöser Antenne, um Reparatur, Rettung und präzise Basteln zu ermöglichen.";
"Military Medkit","Militärische medkit.";
"Rubber","Gummi";
"Computer Screen","Computer-Bildschirm";
"A computer screen with an internal processor.","Ein Computerbildschirm mit einem internen Prozessor.";
"Fungtiple Bulb","Fungelle Birne.";
"A Bulb off a Fungtiple plant.","Eine Birne von einer Fungenfunktion.";
"Glass Container","Glas-Container";
"Stores liquid so that it can be drank or used to craft more useful items.","Speichert Flüssigkeit, damit er getrunken oder verwendet werden kann, um mehr nützliche Gegenstände herzustellen.";
"Heavy Assault Magazine","Schweres Assault-Magazin.";
"Ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Munitionsmagazin für das schwere Sturmgewehr. Es wird beim Nachladen automatisch verwendet, wenn er im Rucksack gespeichert ist.";
"Scrap Solar Panel","Solarpanelschrott";
"Scraps of solar panel parts that have been left over.","Abfälle von Sonnentafeln, die überlassen wurden.";
"Ammo charges for the Pistol. It is automatically used when reloading, if stored in your backpack.","Munitionsgebühren für die Pistole. Es wird beim Nachladen automatisch verwendet, wenn Sie in Ihrem Rucksack gespeichert sind.";
"Mercury","Merkur";
"A heavy metal often used in its liquid form for scientific instruments such as thermometers.","Ein schweres Metall, das häufig in seiner flüssigen Form für wissenschaftliche Instrumente wie Thermometer verwendet wird.";
"Tumbo Egg","Tumbonei";
"Egg taken from the body of a Tumbo. Cook to avoid food poisoning.","Ei aus dem Körper eines Tumbos genommen. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Mercury Ingot","Mercury Ingot.";
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: -38.83 °C
","Ingots sind Ziegel von gereinigten Baumaterialien. Sie werden diese einsetzen, um viele verschiedene Dinge aufzubauen.

- Schmelzpunkt: -38,83 ° C
";
"Crab Talon","Krabben-Talon";
"Talon taken from a crab monsters leg.","Talon aus einem Crab-Monsters-Bein genommen.";
"Shears","Schere";
"A precise surgical tool used for carefully gathering organic matter.","Ein präzises chirurgisches Werkzeug, das zum sorgfältigen Sammeln von organischem Material verwendet wird.";
"Path Light Kit","Pfad Light Kit.";
"Solar light used for path marking","Solarlicht, das zur Pfadmarkierung verwendet wird";
"Barrel","Fass";
"Stores gas so that it can be used to craft more useful items.","Speichert Gas, damit es zum Herstellen von nützlicheren Gegenständen verwendet werden kann.";
"Storage Unit Mk. III","Speichereinheit Mk. III.";
"Arachnoid Hide","Arachnoid-Versteck";
"Hide taken from an Arachnoid, used for crafting purposes.","Verstecken von einem Arachnoid, der für Handwerkszwecke verwendet wird.";
"Arachnoid Tail","Arachnoid-Schwanz";
"Tail taken from a Arachnoid to be used for crafting purposes.","Schwanz aus einem Arachnoid genommen, um zu handhabenden Zwecken verwendet zu werden.";
"Skeliopod Meat","Skeliopod fleisch";
"Meat ripped right off the body of a Skeliopod. Cook to avoid food poisoning.","Fleisch riss direkt vom Körper eines Skeliopods. Kochen, um Lebensmittelvergiftung zu vermeiden.";
"Data Disk SN:349.01","Datenträger SN: 349.01";
"Mission Cryptex","Mission Cryptex.";
"Recovery Unit Mk. I","Wiederherstellungseinheit Mk. ich";
"Hydrogen Canister","Wasserstoffkanister";
"1% critical hit","1% kritischer Treffer";
"Container holding a pressurized hydrogen mixture. Made in either a printer or a fabricator. Used as a fuel source for the hydrogen torch.","Behälter, der eine unter Druck stehende Wasserstoffmischung hält. Entweder in einem Drucker oder einem Hersteller hergestellt. Wird als Kraftstoffquelle für den Wasserstoffbrenner verwendet.";
"Darts","Darts";
"Projectiles used by Dart Gun.","Geschosse, die von DART GUN verwendet werden.";
"Hover Recharger","Lovergerechter";
"Cobalt Ingot","Kobalt-Ingot.";
